address,built_area,city,code,date,for_rent,for_sale,latitude,longitude,neighborhood,properties,property_type,proposals,real_estate,rent_price,rooms,sale_price,total_area,url
,,Campinas/SP,CA002344,2019-11-18,true,false,-22.90669,-47.05191,Centro,Sala de TV|banheiro social|quarto|Cozinha Planejada|zinha|piso frio,casa,,pradogoncalves,1700,1,,,https://pradogoncalves.com.br/imovel/CA002344
"Rua Coronel Serafim Migueis, 152",170.0,Campinas/SP,CA006478,2019-11-18,true,false,,,Jardim Eulina,Armários|Cozinha Planejada|Lavanderia|Sala de TV|Sala de Jantar|copa|Quintal|Edícula,casa,0,deluccaimoveis,1700,3,,300.0,https://deluccaimoveis.com.br/imovel/CA006478
"Rua Antonietta Tomiatto Andery, 158",70.0,Campinas/SP,CA018737,2019-11-18,true,false,-22.89151,-46.9766,Sousas,Armário na cozinha|Armário no dormitório|Cozinha Americana|Energia|Esgoto|Living Room|Piso Frio|Água|mobiliada,casa,0,deluccaimoveis,1430,2,,70.0,https://deluccaimoveis.com.br/imovel/CA018737
"Rua Lírio do Amazonas, 395",75.0,Campinas/SP,CA081708,2019-11-18,true,false,-22.79073,-47.09729,Loteamento Solar Campinas,Sala de Estar|Sala de TV|Despensa|Quintal|Piscina|Churrasqueira,casa,0,deluccaimoveis,1300,2,,75.0,https://deluccaimoveis.com.br/imovel/CA081708
"Rua Cândido Portinari, 511",,Campinas/SP,CA005124,2019-11-18,true,false,-22.87207,-47.03598,Vila Nogueira,Quintal|Sala de Jantar,casa,0,deluccaimoveis,1300,1,,,https://deluccaimoveis.com.br/imovel/CA005124
"Rua dos Auetés, 285",125.42,Campinas/SP,CA006540,2019-11-18,true,false,-22.85485,-47.07033,Vila Costa e Silva,,casa,0,deluccaimoveis,1300,2,,200.0,https://deluccaimoveis.com.br/imovel/CA006540
,,Campinas/SP,CA003972,2019-11-18,true,false,-22.94703,-47.09966,Jardim Novo Campos Elíseos,Armários|Cozinha Americana|Lavanderia|Sala de Estar|portão eletrônico|1 dormitório com armário|entrada compartilhada,casa,,mhtimoveis,670,1,,40.0,https://mhtimoveis.com.br/imovel/CA003972
,50.0,Campinas/SP,CA000994,2019-11-18,true,false,-22.91708,-47.05138,Ponte Preta,Sala de Estar,casa,,mhtimoveis,800,1,,80.0,https://mhtimoveis.com.br/imovel/CA000994
,70.0,Campinas/SP,CA003656,2019-11-18,true,false,-22.92754,-47.09933,Jardim Campos Elíseos,Lavanderia|Sala de TV,casa,,mhtimoveis,800,2,,,https://mhtimoveis.com.br/imovel/CA003656
,70.0,Campinas/SP,CA003657,2019-11-18,true,false,-22.92754,-47.09933,Jardim Campos Elíseos,Lavanderia|Sala de TV,casa,,mhtimoveis,800,2,,,https://mhtimoveis.com.br/imovel/CA003657
,65.0,Campinas/SP,CA001484,2019-11-18,true,false,-22.93453,-47.03952,Vila Georgina,Lavanderia|Quintal|Sala de Estar,casa,,mhtimoveis,900,1,,65.0,https://mhtimoveis.com.br/imovel/CA001484
,64.0,Campinas/SP,CA001317,2019-11-18,true,false,-22.92697,-47.07441,São Bernardo,,casa,,mhtimoveis,1100,2,,93.31,https://mhtimoveis.com.br/imovel/CA001317
,80.0,Campinas/SP,CA001316,2019-11-18,true,false,-22.92524,-47.07213,São Bernardo,,casa,,mhtimoveis,1200,2,,133.45,https://mhtimoveis.com.br/imovel/CA001316
,60.0,Campinas/SP,CA003768,2019-11-18,true,false,-22.8534,-47.06649,Jardim Santa Genebra,Armários|Cozinha Planejada|Lavanderia|Planejados|Quintal|Sala de Jantar|Sala de TV,casa,,mhtimoveis,1200,2,,60.0,https://mhtimoveis.com.br/imovel/CA003768
,147.75,Campinas/SP,CA001029,2019-11-18,true,true,-22.91783,-47.05246,Ponte Preta,Quintal,casa,,mhtimoveis,1400,,420000,147.75,https://mhtimoveis.com.br/imovel/CA001029
,110.0,Campinas/SP,CA003432,2019-11-18,true,false,-22.92743,-47.05212,Vila Marieta,Lavanderia|Sala de Estar|Quintal|3 DORMITÓRIOS|BANHEIRO SOCIAL|COZINHA AMPLA,casa,,mhtimoveis,1500,3,,350.0,https://mhtimoveis.com.br/imovel/CA003432
,90.0,Campinas/SP,CA003428,2019-11-18,true,true,-22.92434,-47.06113,Jardim Leonor,Despensa|Lavanderia|Quintal|Sala de Estar|cozinha,casa,,mhtimoveis,1600,3,450000,350.0,https://mhtimoveis.com.br/imovel/CA003428
,56.0,Campinas/SP,CA000356,2019-11-18,true,false,-22.91742,-47.05101,Ponte Preta,Sala de Estar|Sala de Jantar|Sala de TV|Lavabo|Armários|Despensa|Varanda,casa,,mhtimoveis,1680,2,,147.0,https://mhtimoveis.com.br/imovel/CA000356
,98.0,Campinas/SP,CA003862,2019-11-18,true,false,-22.93923,-47.04147,Vila Georgina,Despensa|Quintal|Sala de Estar|Varanda|bannheiro|cozinha,casa,,mhtimoveis,1700,3,,300.0,https://mhtimoveis.com.br/imovel/CA003862
,,Campinas/SP,CA003506,2019-11-18,true,false,-22.97919,-47.10537,Jardim Itatinga,Cozinha|Área Serviço,casa,,villaimoveiscampinas,650,1,,58.0,https://villaimoveiscampinas.com.br/imovel/CA003506
,,Campinas/SP,CA000115,2019-11-18,true,false,-22.95335,-47.0815,Jardim Icaraí,Cozinha|Energia|Esgoto|Água|Quintal,casa,,villaimoveiscampinas,700,1,,250.0,https://villaimoveiscampinas.com.br/imovel/CA000115
,,Campinas/SP,CA001035,2019-11-18,true,false,-22.90665,-47.07733,Vila Industrial,Cozinha|Energia|Esgoto|Água,casa,,villaimoveiscampinas,700,1,,37.0,https://villaimoveiscampinas.com.br/imovel/CA001035
,30.0,Campinas/SP,CA007067,2019-11-18,true,false,-22.93326,-47.04822,Jardim dos Oliveiras,Cozinha,casa,,villaimoveiscampinas,700,1,,,https://villaimoveiscampinas.com.br/imovel/CA007067
,50.0,Campinas/SP,CA006208,2019-11-18,true,false,-22.91168,-47.07946,Vila Industrial,Lavanderia|Sala de Estar,casa,,villaimoveiscampinas,800,1,,50.0,https://villaimoveiscampinas.com.br/imovel/CA006208
,50.0,Campinas/SP,CA006845,2019-11-18,true,false,-22.93578,-47.03784,Vila Georgina,Lavanderia|Quintal|Sala de Estar,casa,,villaimoveiscampinas,850,1,,,https://villaimoveiscampinas.com.br/imovel/CA006845
,40.0,Campinas/SP,CA007056,2019-11-18,true,false,-22.90679,-47.10126,Jardim Aurélia,Quintal,casa,,villaimoveiscampinas,850,1,,40.0,https://villaimoveiscampinas.com.br/imovel/CA007056
,40.0,Campinas/SP,CA006883,2019-11-18,true,false,-22.91095,-47.07741,Vila Industrial,Cozinha Americana|Lavanderia|Sala de Estar|Varanda,casa,,villaimoveiscampinas,870,1,,,https://villaimoveiscampinas.com.br/imovel/CA006883
,40.0,Campinas/SP,CA005553,2019-11-18,true,false,-22.9117,-47.06891,Vila Industrial,Lavanderia|Quintal,casa,,villaimoveiscampinas,900,1,,,https://villaimoveiscampinas.com.br/imovel/CA005553
,160.0,Campinas/SP,CA006588,2019-11-18,true,false,-22.90212,-47.07395,Bonfim,Lavanderia,casa,,villaimoveiscampinas,900,2,,140.0,https://villaimoveiscampinas.com.br/imovel/CA006588
,65.0,Campinas/SP,CA007020,2019-11-18,true,false,-22.9236,-47.06917,Jardim do Trevo,sacada,casa,,villaimoveiscampinas,900,2,,65.0,https://villaimoveiscampinas.com.br/imovel/CA007020
,70.0,Campinas/SP,CA006222,2019-11-18,true,false,-22.93113,-47.06277,Jardim Nova Europa,Armários,casa,,villaimoveiscampinas,1000,1,,70.0,https://villaimoveiscampinas.com.br/imovel/CA006222
,55.0,Campinas/SP,CA006938,2019-11-18,true,false,-22.91069,-47.0686,Vila Industrial,Lavanderia,casa,,villaimoveiscampinas,1050,1,,70.0,https://villaimoveiscampinas.com.br/imovel/CA006938
,60.0,Campinas/SP,CA006317,2019-11-18,true,false,-22.90818,-47.08027,Vila Industrial,,casa,,villaimoveiscampinas,1080,1,,75.0,https://villaimoveiscampinas.com.br/imovel/CA006317
,60.0,Campinas/SP,CA006213,2019-11-18,true,false,-22.92319,-47.10986,Jardim Londres,Lavanderia|Sala de Estar|Quintal,casa,,villaimoveiscampinas,1100,2,,100.0,https://villaimoveiscampinas.com.br/imovel/CA006213
,60.0,Campinas/SP,CA007019,2019-11-18,true,false,-22.94819,-47.13942,Residencial Cosmos,Sala de Jantar,casa,,villaimoveiscampinas,1100,3,,140.0,https://villaimoveiscampinas.com.br/imovel/CA007019
